Date,Item,Quantity,Customer
7/12/2021,7D-11-333,27,Customer 5
7/12/2021,7D-11-506,5,Customer 5
7/12/2021,7D-11-507,4,Customer 5
7/12/2021,7D-11-730,1,Customer 5
7/12/2021,7D-11-730,4,Customer 5
7/12/2021,7D-11-907,36,Customer 5
7/12/2021,7D-11-916,34,Customer 5
7/12/2021,7D-12-251,1,Customer 5
7/12/2021,7D-12-324,1,Customer 5
7/12/2021,7D-12-324,1,Customer 5
7/12/2021,7D-12-325,1,Customer 5
7/12/2021,7D-208020EP,400,Customer 5
7/12/2021,7D-208021EP,300,Customer 5
7/12/2021,7D-208022EP,150,Customer 5
7/12/2021,7D-208023EP,80,Customer 5
7/12/2021,7D-209024,96,Customer 5
7/12/2021,7D-302710,55,Customer 5
7/12/2021,7D-302710,55,Customer 5
7/12/2021,7D-303069,200,Customer 5
7/12/2021,7D-303069,100,Customer 5
7/12/2021,7D-303071,300,Customer 5
7/12/2021,7D-303075,216,Customer 5
7/12/2021,7D-303075,216,Customer 5
7/12/2021,7D-303103-1,25,Customer 5
7/12/2021,7D-303129,12,Customer 5
7/12/2021,7D-303129,15,Customer 5
7/12/2021,7D-36-080,20,Customer 5
7/12/2021,7D-401902,38,Customer 5
7/12/2021,7D-401902,38,Customer 5
7/12/2021,2365374-31-03EC,100,Customer 5
7/12/2021,7D-11-226,50,Customer 5
7/13/2021,1001266707,14,Customer 1
7/12/2021,7D-11-292,34,Customer 5
7/12/2021,7D-11-329,70,Customer 5
7/12/2021,7D-11-906,60,Customer 5
7/13/2021,1001208663,3,Customer 1
7/12/2021,7D-302283,50,Customer 5
7/12/2021,7D-302283,100,Customer 5
7/13/2021,1001208664,13,Customer 1
7/13/2021,1001092950,1,Customer 1
7/13/2021,1001187810 Old Rev G,3,Customer 1
7/13/2021,1001187810 Old Rev G,4,Customer 1
7/13/2021,1220094,4,Customer 1
7/13/2021,1220094,1,Customer 1
7/19/2021,7D-302285,200,Customer 5
7/12/2021,7D-12-856,27,Customer 5
7/8/2021,1B8GC7,400,Other
7/13/2021,7-131586,10,Other
7/13/2021,190402,238,Other
7/14/2021,4413100,900,Other
7/13/2021,10008-00P,60,Other
7/13/2021,XP,48,Other
7/13/2021,2-1/2P,22,Other
7/13/2021,415P,6,Other
7/13/2021,32-21P,104,Other
7/13/2021,3A1P,5,Other
7/13/2021,1-1/2-B1P,20,Other
7/13/2021,10013-00P,14,Other
7/13/2021,U40-7P,48,Other
7/13/2021,001P,60,Other
7/13/2021,10006-01P,36,Other
7/19/2021,9371173500,1,Customer 6
7/19/2021,9371173900,5,Customer 6
7/19/2021,9381183300,1,Customer 6
7/15/2021,9371173300,1,Customer 6
7/15/2021,9371173500,2,Customer 6
7/15/2021,9381183300,1,Customer 6
7/16/2021,9371173300,1,Customer 6
7/16/2021,9371173500,1,Customer 6
7/16/2021,9381183300,2,Customer 6
7/14/2021,1001176492J,3,Customer 1
7/14/2021,1001266707,4,Customer 1
7/14/2021,1001176490J,4,Customer 1
7/14/2021,1001176492J,3,Customer 1
7/14/2021,1001094787,1,Customer 1
7/14/2021,1001208664,2,Customer 1
7/14/2021,1001208664,8,Customer 1
7/14/2021,1001094787,5,Customer 1
7/14/2021,1220094,5,Customer 1
7/14/2021,1001187810 Old Rev G,4,Customer 1
7/14/2021,1001187810 Old Rev G,4,Customer 1
7/14/2021,1220032P032,2,Customer 1
7/14/2021,1001174679,1,Customer 1
7/14/2021,1001174679,1,Customer 1
7/14/2021,1220029P032,1,Customer 1
7/14/2021,1220029P032,1,Customer 1
7/14/2021,1220081P032,1,Customer 1
7/14/2021,1001164233,1,Customer 1
7/14/2021,1001164233,1,Customer 1
7/14/2021,1220108,2,Customer 1
7/14/2021,1220097,1,Customer 1
7/14/2021,1220097,1,Customer 1
7/14/2021,1220097P002,1,Customer 1
7/15/2021,144570-099,4,Customer 2
7/15/2021,FREIGHTCROWN,4,Customer 2
7/15/2021,144570-099,4,Customer 2
7/15/2021,FREIGHTCROWN,4,Customer 2
7/15/2021,144569-099,2,Customer 2
7/15/2021,FREIGHTCROWN,2,Customer 2
7/15/2021,144569-099,1,Customer 2
7/15/2021,FREIGHTCROWN,1,Customer 2
7/15/2021,144569-099,1,Customer 2
7/15/2021,FREIGHTCROWN,1,Customer 2
7/15/2021,144569-099,1,Customer 2
7/15/2021,FREIGHTCROWN,1,Customer 2
7/15/2021,144570-099,4,Customer 2
7/15/2021,FREIGHTCROWN,4,Customer 2
7/15/2021,141103-099,3,Customer 2
7/15/2021,FREIGHTCROWN,3,Customer 2
7/19/2021,144570-099,4,Customer 2
7/19/2021,FREIGHTCROWN,4,Customer 2
7/8/2021,0080275P,8,Customer 6
7/8/2021,4341079P,12,Customer 6
7/8/2021,8032F004,8,Customer 6
7/8/2021,8042F009,16,Customer 6
7/8/2021,8668D039,30,Customer 6
7/19/2021,4821466,1,Customer 6
7/8/2021,4821468,1,Customer 6
7/8/2021,4821467,2,Customer 6
7/8/2021,4821467,2,Customer 6
7/8/2021,4821468,4,Customer 6
7/8/2021,4821467,4,Customer 6
7/8/2021,E1001169381,8,Other
7/8/2021,E1001169381,8,Other
7/15/2021,1001208664,3,Customer 1
7/20/2021,8808765,5,Customer 3
7/20/2021,8808767,1,Customer 3
7/20/2021,8817150,14,Customer 3
7/20/2021,8817152,9,Customer 3
7/20/2021,8808764,6,Customer 3
7/15/2021,1220108,1,Customer 1
7/20/2021,8542673,6,Customer 3
7/20/2021,8817151,10,Customer 3
7/20/2021,8817152,9,Customer 3
7/20/2021,8808765,5,Customer 3
7/20/2021,8808767,3,Customer 3
7/15/2021,1001177653J,1,Customer 1
7/15/2021,1220108P007,1,Customer 1
7/20/2021,8808763,1,Customer 3
7/20/2021,S01677560010,2,Customer 3
7/15/2021,1220099P656,1,Customer 1
7/20/2021,8817151,10,Customer 3
7/15/2021,1220099,1,Customer 1
7/20/2021,8808763,3,Customer 3
7/20/2021,8808763,4,Customer 3
7/15/2021,1001213325J,2,Customer 1
7/15/2021,1001213326J,2,Customer 1
7/20/2021,8526433,48,Customer 3
7/20/2021,8526434,48,Customer 3
7/15/2021,1001094787,3,Customer 1
7/20/2021,8817150,14,Customer 3
7/20/2021,8817152,9,Customer 3
7/20/2021,8808765,5,Customer 3
7/20/2021,8808767,1,Customer 3
7/15/2021,1001094787P032,3,Customer 1
